char,dialog,movie,corpus_dialog
PIPPIN,well im taller though im likely grow anymore excep,THE RETURN OF THE KING,"Counter({'im': 2, 'well': 1, 'taller': 1, 'though': 1, 'likely': 1, 'grow': 1, 'anymore': 1, 'excep': 1})"
FARAMIR,never fitted either boromir always soldier alike f,THE RETURN OF THE KING,"Counter({'never': 1, 'fitted': 1, 'either': 1, 'boromir': 1, 'always': 1, 'soldier': 1, 'alike': 1, 'f': 1})"
PIPPIN,think strength different kind one day father see,THE RETURN OF THE KING,"Counter({'think': 1, 'strength': 1, 'different': 1, 'kind': 1, 'one': 1, 'day': 1, 'father': 1, 'see': 1})"
PIPPIN,swear fealty service gondor peace war living dying,THE RETURN OF THE KING,"Counter({'swear': 1, 'fealty': 1, 'service': 1, 'gondor': 1, 'peace': 1, 'war': 1, 'living': 1, 'dying': 1})"
FARAMIR,lord osgiliath run,THE RETURN OF THE KING,"Counter({'lord': 1, 'osgiliath': 1, 'run': 1})"
FARAMIR,wish places exchanged died boromir lived,THE RETURN OF THE KING,"Counter({'wish': 1, 'places': 1, 'exchanged': 1, 'died': 1, 'boromir': 1, 'lived': 1})"
THEODEN,cannot meet battle nonetheless,THE RETURN OF THE KING,"Counter({'cannot': 1, 'meet': 1, 'battle': 1, 'nonetheless': 1})"
THEODEN,left instruction people follow rule stead take sea,THE RETURN OF THE KING,"Counter({'left': 1, 'instruction': 1, 'people': 1, 'follow': 1, 'rule': 1, 'stead': 1, 'take': 1, 'sea': 1})"
THEODEN,duty would smile grieve whose time come shall live,THE RETURN OF THE KING,"Counter({'duty': 1, 'would': 1, 'smile': 1, 'grieve': 1, 'whose': 1, 'time': 1, 'come': 1, 'shall': 1, 'live': 1})"
FARAMIR,since robbed boromir stead return think better fat,THE RETURN OF THE KING,"Counter({'since': 1, 'robbed': 1, 'boromir': 1, 'stead': 1, 'return': 1, 'think': 1, 'better': 1, 'fat': 1})"
SAM,sneaking,THE RETURN OF THE KING,Counter({'sneaking': 1})
GOLLUM,sneaking sneaking fat hobbit always polite smeagol,THE RETURN OF THE KING,"Counter({'sneaking': 2, 'fat': 1, 'hobbit': 1, 'always': 1, 'polite': 1, 'smeagol': 1})"
SAM,alright alright startled,THE RETURN OF THE KING,"Counter({'alright': 2, 'startled': 1})"
GOLLUM,sneaking,THE RETURN OF THE KING,Counter({'sneaking': 1})
SAM,fine way im sorry wake mr frodo moving,THE RETURN OF THE KING,"Counter({'fine': 1, 'way': 1, 'im': 1, 'sorry': 1, 'wake': 1, 'mr': 1, 'frodo': 1, 'moving': 1})"
FRODO,dark still,THE RETURN OF THE KING,"Counter({'dark': 1, 'still': 1})"
SAM,always dark gone elven bread,THE RETURN OF THE KING,"Counter({'always': 1, 'dark': 1, 'gone': 1, 'elven': 1, 'bread': 1})"
FRODO,thats left,THE RETURN OF THE KING,"Counter({'thats': 1, 'left': 1})"
FARAMIR,tell men break cover ride minas tirith,THE RETURN OF THE KING,"Counter({'tell': 1, 'men': 1, 'break': 1, 'cover': 1, 'ride': 1, 'minas': 1, 'tirith': 1})"
FARAMIR,take cover nazgul fall back fall back minas tirith,THE RETURN OF THE KING,"Counter({'fall': 2, 'back': 2, 'take': 1, 'cover': 1, 'nazgul': 1, 'minas': 1, 'tirith': 1})"
SAM,took must,THE RETURN OF THE KING,"Counter({'took': 1, 'must': 1})"
GOLLUM,smeagol poor smeagol smeagol hates nasty elf bread,THE RETURN OF THE KING,"Counter({'smeagol': 3, 'poor': 1, 'hates': 1, 'nasty': 1, 'elf': 1, 'bread': 1})"
SAM,youre lying rat,THE RETURN OF THE KING,"Counter({'youre': 1, 'lying': 1, 'rat': 1})"
FRODO,doesnt eat cant taken,THE RETURN OF THE KING,"Counter({'doesnt': 1, 'eat': 1, 'cant': 1, 'taken': 1})"
GOLLUM,look whats crumbs jacketses took took ive seen hes,THE RETURN OF THE KING,"Counter({'took': 2, 'look': 1, 'whats': 1, 'crumbs': 1, 'jacketses': 1, 'ive': 1, 'seen': 1, 'hes': 1})"
SAM,thats filthy lie stinking two faced sneak,THE RETURN OF THE KING,"Counter({'thats': 1, 'filthy': 1, 'lie': 1, 'stinking': 1, 'two': 1, 'faced': 1, 'sneak': 1})"
SAM,ill kill,THE RETURN OF THE KING,"Counter({'ill': 1, 'kill': 1})"
SAM,oh im sorry didnt mean go far angry lets rest bit,THE RETURN OF THE KING,"Counter({'oh': 1, 'im': 1, 'sorry': 1, 'didnt': 1, 'mean': 1, 'go': 1, 'far': 1, 'angry': 1, 'lets': 1, 'rest': 1, 'bit': 1})"
FRODO,im right,THE RETURN OF THE KING,"Counter({'im': 1, 'right': 1})"
SAM,youre right youre exhausted gollum place thing aro,THE RETURN OF THE KING,"Counter({'youre': 2, 'right': 1, 'exhausted': 1, 'gollum': 1, 'place': 1, 'thing': 1, 'aro': 1})"
FRODO,get away,THE RETURN OF THE KING,"Counter({'get': 1, 'away': 1})"
FARAMIR,fall back retreat retreat run lives,THE RETURN OF THE KING,"Counter({'retreat': 2, 'fall': 1, 'back': 1, 'run': 1, 'lives': 1})"
FARAMIR,mithrandir broke defences theyve taken bridge west,THE RETURN OF THE KING,"Counter({'mithrandir': 1, 'broke': 1, 'defences': 1, 'theyve': 1, 'taken': 1, 'bridge': 1, 'west': 1})"
GANDALF,foreseen done nothing,THE RETURN OF THE KING,"Counter({'foreseen': 1, 'done': 1, 'nothing': 1})"
GANDALF,faramir first halfling crossed path,THE RETURN OF THE KING,"Counter({'faramir': 1, 'first': 1, 'halfling': 1, 'crossed': 1, 'path': 1})"
PIPPIN,youve seen frodo sam,THE RETURN OF THE KING,"Counter({'youve': 1, 'seen': 1, 'frodo': 1, 'sam': 1})"
SAM,dont want keep want help,THE RETURN OF THE KING,"Counter({'want': 2, 'dont': 1, 'keep': 1, 'help': 1})"
GOLLUM,see see wants,THE RETURN OF THE KING,"Counter({'see': 2, 'wants': 1})"
SAM,shut go away get,THE RETURN OF THE KING,"Counter({'shut': 1, 'go': 1, 'away': 1, 'get': 1})"
FRODO,sam im sorry sam,THE RETURN OF THE KING,"Counter({'sam': 2, 'im': 1, 'sorry': 1})"
SAM,hes liar hes poisoned,THE RETURN OF THE KING,"Counter({'hes': 2, 'liar': 1, 'poisoned': 1})"
FRODO,cant help,THE RETURN OF THE KING,"Counter({'cant': 1, 'help': 1})"
SAM,dont mean,THE RETURN OF THE KING,"Counter({'dont': 1, 'mean': 1})"
FRODO,go home,THE RETURN OF THE KING,"Counter({'go': 1, 'home': 1})"
GANDALF,faramir faramir fathers turned madness throw away ,THE RETURN OF THE KING,"Counter({'faramir': 2, 'fathers': 1, 'turned': 1, 'madness': 1, 'throw': 1, 'away': 1})"
FARAMIR,allegiance lie city men nmenor gladly give life de,THE RETURN OF THE KING,"Counter({'allegiance': 1, 'lie': 1, 'city': 1, 'men': 1, 'nmenor': 1, 'gladly': 1, 'give': 1, 'life': 1, 'de': 1})"
GANDALF,father loves faramir remember end,THE RETURN OF THE KING,"Counter({'father': 1, 'loves': 1, 'faramir': 1, 'remember': 1, 'end': 1})"
PIPPIN,well yes least well enough people songs great hall,THE RETURN OF THE KING,"Counter({'well': 2, 'yes': 1, 'least': 1, 'enough': 1, 'people': 1, 'songs': 1, 'great': 1, 'hall': 1})"
GANDALF,saurons wrath terrible retribution swift,THE TWO TOWERS,"Counter({'saurons': 1, 'wrath': 1, 'terrible': 1, 'retribution': 1, 'swift': 1})"
GANDALF,battle helms deep battle middleearth begin,THE TWO TOWERS,"Counter({'battle': 2, 'helms': 1, 'deep': 1, 'middleearth': 1, 'begin': 1})"
GANDALF,looking back mordor hopes lie two little hobbits,THE TWO TOWERS,"Counter({'looking': 1, 'back': 1, 'mordor': 1, 'hopes': 1, 'lie': 1, 'two': 1, 'little': 1, 'hobbits': 1})"
FARAMIR,ithilien two days ago gandalf theyre taking road m,THE RETURN OF THE KING,"Counter({'ithilien': 1, 'two': 1, 'days': 1, 'ago': 1, 'gandalf': 1, 'theyre': 1, 'taking': 1, 'road': 1, 'm': 1})"
GANDALF,pass cirith ungol,THE RETURN OF THE KING,"Counter({'pass': 1, 'cirith': 1, 'ungol': 1})"
PIPPIN,mean whats wrong looks gandalf,THE RETURN OF THE KING,"Counter({'mean': 1, 'whats': 1, 'wrong': 1, 'looks': 1, 'gandalf': 1})"
GANDALF,faramir tell everything tell know,THE RETURN OF THE KING,"Counter({'tell': 2, 'faramir': 1, 'everything': 1, 'know': 1})"
FARAMIR,judged right,THE RETURN OF THE KING,"Counter({'judged': 1, 'right': 1})"
FARAMIR,would use ring minas tirith falling ruin alone cou,THE RETURN OF THE KING,"Counter({'would': 1, 'use': 1, 'ring': 1, 'minas': 1, 'tirith': 1, 'falling': 1, 'ruin': 1, 'alone': 1, 'cou': 1})"
FARAMIR,boromir would brought ring would stretched hand th,THE RETURN OF THE KING,"Counter({'would': 2, 'boromir': 1, 'brought': 1, 'ring': 1, 'stretched': 1, 'hand': 1, 'th': 1})"
PIPPIN,home behind world ahead many paths tread shadow ed,THE RETURN OF THE KING,"Counter({'home': 1, 'behind': 1, 'world': 1, 'ahead': 1, 'many': 1, 'paths': 1, 'tread': 1, 'shadow': 1, 'ed': 1})"
GANDALF,somewhere wilderness,THE TWO TOWERS,"Counter({'somewhere': 1, 'wilderness': 1})"
SAM,wonder well ever put songs tales,THE TWO TOWERS,"Counter({'wonder': 1, 'well': 1, 'ever': 1, 'put': 1, 'songs': 1, 'tales': 1})"
SAM,wonder people ever say lets hear frodo ring theyll,THE TWO TOWERS,"Counter({'wonder': 1, 'people': 1, 'ever': 1, 'say': 1, 'lets': 1, 'hear': 1, 'frodo': 1, 'ring': 1, 'theyll': 1})"
FRODO,well youve left one chief characters samwise brave,THE TWO TOWERS,"Counter({'well': 1, 'youve': 1, 'left': 1, 'one': 1, 'chief': 1, 'characters': 1, 'samwise': 1, 'brave': 1})"
FRODO,frodo wouldnt got far without sam,THE TWO TOWERS,"Counter({'frodo': 1, 'wouldnt': 1, 'got': 1, 'far': 1, 'without': 1, 'sam': 1})"
SAM,mr frodo shouldnt make fun serious,THE TWO TOWERS,"Counter({'mr': 1, 'frodo': 1, 'shouldnt': 1, 'make': 1, 'fun': 1, 'serious': 1})"
SAM,samwise brave,THE TWO TOWERS,"Counter({'samwise': 1, 'brave': 1})"
FRODO,smeagol,THE TWO TOWERS,Counter({'smeagol': 1})
SAM,going wait come,THE TWO TOWERS,"Counter({'going': 1, 'wait': 1, 'come': 1})"
GOLLUM,master broke promise,THE TWO TOWERS,"Counter({'master': 1, 'broke': 1, 'promise': 1})"
GOLLUM,master betrayed us wicked tricksy false ought wrin,THE TWO TOWERS,"Counter({'master': 1, 'betrayed': 1, 'us': 1, 'wicked': 1, 'tricksy': 1, 'false': 1, 'ought': 1, 'wrin': 1})"
FARAMIR,would kept returned would known son,THE RETURN OF THE KING,"Counter({'would': 2, 'kept': 1, 'returned': 1, 'known': 1, 'son': 1})"
FARAMIR,father,THE RETURN OF THE KING,Counter({'father': 1})
GOLLUM,careful master careful far fall dangerous stairs,THE RETURN OF THE KING,"Counter({'careful': 2, 'master': 1, 'far': 1, 'fall': 1, 'dangerous': 1, 'stairs': 1})"
GOLLUM,come master,THE RETURN OF THE KING,"Counter({'come': 1, 'master': 1})"
GOLLUM,come smeagol,THE RETURN OF THE KING,"Counter({'come': 1, 'smeagol': 1})"
SAM,mr frodo get back dont touch,THE RETURN OF THE KING,"Counter({'mr': 1, 'frodo': 1, 'get': 1, 'back': 1, 'dont': 1, 'touch': 1})"
GOLLUM,hates poor smeagol smeagol ever done master master,THE RETURN OF THE KING,"Counter({'smeagol': 2, 'master': 2, 'hates': 1, 'poor': 1, 'ever': 1, 'done': 1})"
GOLLUM,stabs put eyeses make crawl,THE TWO TOWERS,"Counter({'stabs': 1, 'put': 1, 'eyeses': 1, 'make': 1, 'crawl': 1})"
SAM,gone hey gollum,THE TWO TOWERS,"Counter({'gone': 1, 'hey': 1, 'gollum': 1})"
FRODO,smeagol,THE TWO TOWERS,Counter({'smeagol': 1})
GOLLUM,could let,THE TWO TOWERS,"Counter({'could': 1, 'let': 1})"
GOLLUM,yes precious could takes theyre dead,THE TWO TOWERS,"Counter({'yes': 1, 'precious': 1, 'could': 1, 'takes': 1, 'theyre': 1, 'dead': 1})"
GIMLI,fortytwo thats bad pointyeared elvish princeling s,THE TWO TOWERS,"Counter({'fortytwo': 1, 'thats': 1, 'bad': 1, 'pointyeared': 1, 'elvish': 1, 'princeling': 1, 's': 1})"
GIMLI,already dead,THE TWO TOWERS,"Counter({'already': 1, 'dead': 1})"
GANDALF,courage best defence,THE RETURN OF THE KING,"Counter({'courage': 1, 'best': 1, 'defence': 1})"
GOLLUM,follow,THE TWO TOWERS,Counter({'follow': 1})
GIMLI,twitchingbecause hes got axe embedded nervous syst,THE TWO TOWERS,"Counter({'twitchingbecause': 1, 'hes': 1, 'got': 1, 'axe': 1, 'embedded': 1, 'nervous': 1, 'syst': 1})"
MERRY,doesnt look happy,THE TWO TOWERS,"Counter({'doesnt': 1, 'look': 1, 'happy': 1})"
PIPPIN,happy merry,THE TWO TOWERS,"Counter({'happy': 1, 'merry': 1})"
MERRY,still suppose view would quite nice,THE TWO TOWERS,"Counter({'still': 1, 'suppose': 1, 'view': 1, 'would': 1, 'quite': 1, 'nice': 1})"
PIPPIN,oh yes quality establishment hear staff good,THE TWO TOWERS,"Counter({'oh': 1, 'yes': 1, 'quality': 1, 'establishment': 1, 'hear': 1, 'staff': 1, 'good': 1})"
MERRY,nothing worlds back normal thats,THE TWO TOWERS,"Counter({'nothing': 1, 'worlds': 1, 'back': 1, 'normal': 1, 'thats': 1})"
PIPPIN,isnt im starving,THE TWO TOWERS,"Counter({'isnt': 1, 'im': 1, 'starving': 1})"
MERRY,good luck trying find something decent around prob,THE TWO TOWERS,"Counter({'good': 1, 'luck': 1, 'trying': 1, 'find': 1, 'something': 1, 'decent': 1, 'around': 1, 'prob': 1})"
MERRY,sarumans storeroom,THE TWO TOWERS,"Counter({'sarumans': 1, 'storeroom': 1})"
PIPPIN,dont believe,THE TWO TOWERS,"Counter({'dont': 1, 'believe': 1})"
MERRY,longbottom leaf finest pipeweed south farthing,THE TWO TOWERS,"Counter({'longbottom': 1, 'leaf': 1, 'finest': 1, 'pipeweed': 1, 'south': 1, 'farthing': 1})"
PIPPIN,perfect one barrel wait think share treebeard,THE TWO TOWERS,"Counter({'perfect': 1, 'one': 1, 'barrel': 1, 'wait': 1, 'think': 1, 'share': 1, 'treebeard': 1})"
MERRY,share dead plant dont think hed understand could d,THE TWO TOWERS,"Counter({'share': 1, 'dead': 1, 'plant': 1, 'dont': 1, 'think': 1, 'hed': 1, 'understand': 1, 'could': 1, 'd': 1})"
PIPPIN,get dont hasty,THE TWO TOWERS,"Counter({'get': 1, 'dont': 1, 'hasty': 1})"
MERRY,exactly barhrum,THE TWO TOWERS,"Counter({'exactly': 1, 'barhrum': 1})"
FARAMIR,old sewer runs right river edge city youll find co,THE TWO TOWERS,"Counter({'old': 1, 'sewer': 1, 'runs': 1, 'right': 1, 'river': 1, 'edge': 1, 'city': 1, 'youll': 1, 'find': 1, 'co': 1})"
SAM,captain faramiryou shown quality sir,THE TWO TOWERS,"Counter({'captain': 1, 'faramiryou': 1, 'shown': 1, 'quality': 1, 'sir': 1})"
SAM,highest,THE TWO TOWERS,Counter({'highest': 1})
FARAMIR,shire must truly great realm master gamgeewhere ga,THE TWO TOWERS,"Counter({'shire': 1, 'must': 1, 'truly': 1, 'great': 1, 'realm': 1, 'master': 1, 'gamgeewhere': 1, 'ga': 1})"
FARAMIR,road take reach woods,THE TWO TOWERS,"Counter({'road': 1, 'take': 1, 'reach': 1, 'woods': 1})"
FRODO,gollum says theres pathnear minas morgul climbs mo,THE TWO TOWERS,"Counter({'gollum': 1, 'says': 1, 'theres': 1, 'pathnear': 1, 'minas': 1, 'morgul': 1, 'climbs': 1, 'mo': 1})"
FARAMIR,cirith ungol,THE TWO TOWERS,"Counter({'cirith': 1, 'ungol': 1})"
FARAMIR,ls name,THE TWO TOWERS,"Counter({'ls': 1, 'name': 1})"
FARAMIR,frodothey say dark terror dwells passes minas morg,THE TWO TOWERS,"Counter({'frodothey': 1, 'say': 1, 'dark': 1, 'terror': 1, 'dwells': 1, 'passes': 1, 'minas': 1, 'morg': 1})"
GOLLUM,lt way master says must go mordor must try,THE TWO TOWERS,"Counter({'must': 2, 'lt': 1, 'way': 1, 'master': 1, 'says': 1, 'go': 1, 'mordor': 1, 'try': 1})"
FARAMIR,go frodo go goodwill men,THE TWO TOWERS,"Counter({'go': 2, 'frodo': 1, 'goodwill': 1, 'men': 1})"
FARAMIR,may death find quickly bring harm,THE TWO TOWERS,"Counter({'may': 1, 'death': 1, 'find': 1, 'quickly': 1, 'bring': 1, 'harm': 1})"
SAM,come keep,THE TWO TOWERS,"Counter({'come': 1, 'keep': 1})"
SAM,mr frodo didnt mean rangers hurt know dont trying ,THE TWO TOWERS,"Counter({'mr': 1, 'frodo': 1, 'didnt': 1, 'mean': 1, 'rangers': 1, 'hurt': 1, 'know': 1, 'dont': 1, 'trying': 1})"
SAM,theres hard feelings forgive forget,THE TWO TOWERS,"Counter({'theres': 1, 'hard': 1, 'feelings': 1, 'forgive': 1, 'forget': 1})"
GOLLUM,hard feelings gollum gollum yes master nice hobbit,THE TWO TOWERS,"Counter({'gollum': 2, 'hard': 1, 'feelings': 1, 'yes': 1, 'master': 1, 'nice': 1, 'hobbit': 1})"
SAM,decent decent indeed gollum,THE TWO TOWERS,"Counter({'decent': 2, 'indeed': 1, 'gollum': 1})"
SAM,mr frodo,THE TWO TOWERS,"Counter({'mr': 1, 'frodo': 1})"
FRODO,calling sam eye almost,THE TWO TOWERS,"Counter({'calling': 1, 'sam': 1, 'eye': 1, 'almost': 1})"
SAM,hold mr frodo youll right,THE TWO TOWERS,"Counter({'hold': 1, 'mr': 1, 'frodo': 1, 'youll': 1, 'right': 1})"
FARAMIR,take father tell faramir sends mighty gift weapon ,THE TWO TOWERS,"Counter({'take': 1, 'father': 1, 'tell': 1, 'faramir': 1, 'sends': 1, 'mighty': 1, 'gift': 1, 'weapon': 1})"
SAM,want know happened boromir want know brother died ,THE TWO TOWERS,"Counter({'want': 2, 'know': 2, 'happened': 1, 'boromir': 1, 'brother': 1, 'died': 1})"
SAM,mr frodo,THE TWO TOWERS,"Counter({'mr': 1, 'frodo': 1})"
FRODO,theyre,THE TWO TOWERS,Counter({'theyre': 1})
FRODO,theyve come,THE TWO TOWERS,"Counter({'theyve': 1, 'come': 1})"
FARAMIR,nazgul,THE TWO TOWERS,Counter({'nazgul': 1})
FARAMIR,stay keep sight take cover,THE TWO TOWERS,"Counter({'stay': 1, 'keep': 1, 'sight': 1, 'take': 1, 'cover': 1})"
THEODEN,fortress taken,THE TWO TOWERS,"Counter({'fortress': 1, 'taken': 1})"
ARAGORN,said fortress would never fall men defend still de,THE TWO TOWERS,"Counter({'said': 1, 'fortress': 1, 'would': 1, 'never': 1, 'fall': 1, 'men': 1, 'defend': 1, 'still': 1, 'de': 1})"
ARAGORN,way women children get caves,THE TWO TOWERS,"Counter({'way': 1, 'women': 1, 'children': 1, 'get': 1, 'caves': 1})"
ARAGORN,tell women children make mountain pass barricade e,THE TWO TOWERS,"Counter({'tell': 1, 'women': 1, 'children': 1, 'make': 1, 'mountain': 1, 'pass': 1, 'barricade': 1, 'e': 1})"
THEODEN,aragorn fall back keep get men,THE TWO TOWERS,"Counter({'aragorn': 1, 'fall': 1, 'back': 1, 'keep': 1, 'get': 1, 'men': 1})"
ARAGORN,nan barad nan barad haldir nan barad,THE TWO TOWERS,"Counter({'nan': 3, 'barad': 3, 'haldir': 1})"
GIMLI,stopping,THE TWO TOWERS,Counter({'stopping': 1})
ARAGORN,haldir,THE TWO TOWERS,Counter({'haldir': 1})
THEODEN,much death men reckless hate,THE TWO TOWERS,"Counter({'much': 1, 'death': 1, 'men': 1, 'reckless': 1, 'hate': 1})"
ARAGORN,ride ride meet,THE TWO TOWERS,"Counter({'ride': 2, 'meet': 1})"
THEODEN,death glory,THE TWO TOWERS,"Counter({'death': 1, 'glory': 1})"
ARAGORN,rohan people,THE TWO TOWERS,"Counter({'rohan': 1, 'people': 1})"
GIMLI,sun rising,THE TWO TOWERS,"Counter({'sun': 1, 'rising': 1})"
GANDALF,look coming first light fifth day dawniook east,THE TWO TOWERS,"Counter({'look': 1, 'coming': 1, 'first': 1, 'light': 1, 'fifth': 1, 'day': 1, 'dawniook': 1, 'east': 1})"
THEODEN,yesyesthe horn helm hammerhandshall sound deepone ,THE TWO TOWERS,"Counter({'yesyesthe': 1, 'horn': 1, 'helm': 1, 'hammerhandshall': 1, 'sound': 1, 'deepone': 1})"
THEODEN,let hour draw swords together,THE TWO TOWERS,"Counter({'let': 1, 'hour': 1, 'draw': 1, 'swords': 1, 'together': 1})"
THEODEN,fell deeds awake wrathnow ruin red dawn,THE TWO TOWERS,"Counter({'fell': 1, 'deeds': 1, 'awake': 1, 'wrathnow': 1, 'ruin': 1, 'red': 1, 'dawn': 1})"
THEODEN,forth eorlingas,THE TWO TOWERS,"Counter({'forth': 1, 'eorlingas': 1})"
ARAGORN,gandalf,THE TWO TOWERS,Counter({'gandalf': 1})
GANDALF,theoden king stands alone,THE TWO TOWERS,"Counter({'theoden': 1, 'king': 1, 'stands': 1, 'alone': 1})"
THEODEN,gate draw swords,THE TWO TOWERS,"Counter({'gate': 1, 'draw': 1, 'swords': 1})"
ARAGORN,long need,THE TWO TOWERS,"Counter({'long': 1, 'need': 1})"
THEODEN,long give,THE TWO TOWERS,"Counter({'long': 1, 'give': 1})"
THEODEN,timbers brace gate,THE TWO TOWERS,"Counter({'timbers': 1, 'brace': 1, 'gate': 1})"
GIMLI,come take,THE TWO TOWERS,"Counter({'come': 1, 'take': 1})"
ARAGORN,long way,THE TWO TOWERS,"Counter({'long': 1, 'way': 1})"
MERRY,pippin hold,THE TWO TOWERS,"Counter({'pippin': 1, 'hold': 1})"
SAM,sam dont know sam,THE TWO TOWERS,"Counter({'sam': 2, 'dont': 1, 'know': 1})"
GIMLI,cannot jump distance youll toss,THE TWO TOWERS,"Counter({'cannot': 1, 'jump': 1, 'distance': 1, 'youll': 1, 'toss': 1})"
GIMLI,dont tell elf,THE TWO TOWERS,"Counter({'dont': 1, 'tell': 1, 'elf': 1})"
THEODEN,shore door,THE TWO TOWERS,"Counter({'shore': 1, 'door': 1})"
THEODEN,higher,THE TWO TOWERS,Counter({'higher': 1})
THEODEN,gimli aragorn get,THE TWO TOWERS,"Counter({'gimli': 1, 'aragorn': 1, 'get': 1})"
THEODEN,pull everybody back pull back,THE TWO TOWERS,"Counter({'pull': 2, 'back': 2, 'everybody': 1})"
FRODO,cant sam,THE TWO TOWERS,"Counter({'cant': 1, 'sam': 1})"
SAM,know wrong rights shouldnt even like great stories,THE TWO TOWERS,"Counter({'know': 1, 'wrong': 1, 'rights': 1, 'shouldnt': 1, 'even': 1, 'like': 1, 'great': 1, 'stories': 1})"
THEODEN,victory victory,THE TWO TOWERS,Counter({'victory': 2})
SAM,end passing thing shadow even darkness must pass n,THE TWO TOWERS,"Counter({'end': 1, 'passing': 1, 'thing': 1, 'shadow': 1, 'even': 1, 'darkness': 1, 'must': 1, 'pass': 1, 'n': 1})"
SAM,folk storieshad lots chances turning back didnt ke,THE TWO TOWERS,"Counter({'folk': 1, 'storieshad': 1, 'lots': 1, 'chances': 1, 'turning': 1, 'back': 1, 'didnt': 1, 'ke': 1})"
FRODO,holding sam,THE TWO TOWERS,"Counter({'holding': 1, 'sam': 1})"
SAM,theres good world mr frodo worth fighting,THE TWO TOWERS,"Counter({'theres': 1, 'good': 1, 'world': 1, 'mr': 1, 'frodo': 1, 'worth': 1, 'fighting': 1})"
FARAMIR,think last understand one another frodo baggins,THE TWO TOWERS,"Counter({'think': 1, 'last': 1, 'understand': 1, 'one': 1, 'another': 1, 'frodo': 1, 'baggins': 1})"
FARAMIR,forfeit release,THE TWO TOWERS,"Counter({'forfeit': 1, 'release': 1})"
THEODEN,broken castle breached retreat,THE TWO TOWERS,"Counter({'broken': 1, 'castle': 1, 'breached': 1, 'retreat': 1})"
THEODEN,retreat,THE TWO TOWERS,Counter({'retreat': 1})
ARAGORN,hurry inside get inside,THE TWO TOWERS,"Counter({'inside': 2, 'hurry': 1, 'get': 1})"
PIPPIN,wait stop stop turn around turn around take us sou,THE TWO TOWERS,"Counter({'stop': 2, 'turn': 2, 'around': 2, 'wait': 1, 'take': 1, 'us': 1, 'sou': 1})"
PIPPIN,yes exactly go south slip past saruman unnoticed c,THE TWO TOWERS,"Counter({'yes': 1, 'exactly': 1, 'go': 1, 'south': 1, 'slip': 1, 'past': 1, 'saruman': 1, 'unnoticed': 1, 'c': 1})"
MERRY,mad well caught,THE TWO TOWERS,"Counter({'mad': 1, 'well': 1, 'caught': 1})"
PIPPIN,wont time,THE TWO TOWERS,"Counter({'wont': 1, 'time': 1})"
FRODO,ring save gondor power destroy pleaseiet go,THE TWO TOWERS,"Counter({'ring': 1, 'save': 1, 'gondor': 1, 'power': 1, 'destroy': 1, 'pleaseiet': 1, 'go': 1})"
FRODO,faramir must let go,THE TWO TOWERS,"Counter({'faramir': 1, 'must': 1, 'let': 1, 'go': 1})"
PIPPIN,im sorry treebeard,THE TWO TOWERS,"Counter({'im': 1, 'sorry': 1, 'treebeard': 1})"
GIMLI,could picked better spot,THE TWO TOWERS,"Counter({'could': 1, 'picked': 1, 'better': 1, 'spot': 1})"
GIMLI,well lad whatever luck live lets hope lasts night,THE TWO TOWERS,"Counter({'well': 1, 'lad': 1, 'whatever': 1, 'luck': 1, 'live': 1, 'lets': 1, 'hope': 1, 'lasts': 1, 'night': 1})"
GIMLI,lets hope last night,THE TWO TOWERS,"Counter({'lets': 1, 'hope': 1, 'last': 1, 'night': 1})"
ARAGORN,eruchn dano faelas hyn uben tanatha le faelas,THE TWO TOWERS,"Counter({'faelas': 2, 'eruchn': 1, 'dano': 1, 'hyn': 1, 'uben': 1, 'tanatha': 1, 'le': 1})"
GIMLI,whats happening,THE TWO TOWERS,"Counter({'whats': 1, 'happening': 1})"
PIPPIN,look trees theyre moving,THE TWO TOWERS,"Counter({'look': 1, 'trees': 1, 'theyre': 1, 'moving': 1})"
THEODEN,begins,THE TWO TOWERS,Counter({'begins': 1})
ARAGORN,tangado chadad,THE TWO TOWERS,"Counter({'tangado': 1, 'chadad': 1})"
ARAGORN,leithio philinn,THE TWO TOWERS,"Counter({'leithio': 1, 'philinn': 1})"
GIMLI,hit anything,THE TWO TOWERS,"Counter({'hit': 1, 'anything': 1})"
THEODEN,give volley,THE TWO TOWERS,"Counter({'give': 1, 'volley': 1})"
ARAGORN,ribed bant,THE TWO TOWERS,"Counter({'ribed': 1, 'bant': 1})"
GIMLI,send come,THE TWO TOWERS,"Counter({'send': 1, 'come': 1})"
ARAGORN,pendraith,THE TWO TOWERS,Counter({'pendraith': 1})
ARAGORN,swords swords,THE TWO TOWERS,Counter({'swords': 2})
GIMLI,legolas two already,THE TWO TOWERS,"Counter({'legolas': 1, 'two': 1, 'already': 1})"
GIMLI,ill pointyear outscoring,THE TWO TOWERS,"Counter({'ill': 1, 'pointyear': 1, 'outscoring': 1})"
PIPPIN,well thats good news,THE TWO TOWERS,"Counter({'well': 1, 'thats': 1, 'good': 1, 'news': 1})"
MERRY,saruman come decision,THE TWO TOWERS,"Counter({'saruman': 1, 'come': 1, 'decision': 1})"
MERRY,hasty friends need help cannot fight war,THE TWO TOWERS,"Counter({'hasty': 1, 'friends': 1, 'need': 1, 'help': 1, 'cannot': 1, 'fight': 1, 'war': 1})"
